problem_name,n_objectives,method,selected,knee_error,KD,KGD,KIGD,supported_knee_count,all_knee_count,R_reported,R_validation,audit_gap
PMOP4,5,TAFR-meaningful-gain,True,0.37997771671193503,0.6896336830847052,0.14465997482581255,0.7017623675525968,0.0,16.0,0.10403884152494663,0.10403884152494663,0.0
PMOP4,5,equal,True,0.37997771671193503,0.6896336830847052,0.14465997482581255,0.7017623675525968,0.0,16.0,,1.3423888809015607,
PMOP4,5,CHIM-posthoc,False,,1.0672350307296532,0.38307363968695013,1.1259836911356575,0.0,16.0,,,
PMOP4,5,TPE-2024-grid,True,0.5737015951711212,1.1190325494885338,0.43992933436256315,1.2054428137312014,0.0,16.0,,0.0,
PMOP5,5,TAFR-meaningful-gain,True,0.5038234799096832,0.6286841296631595,0.2866344603307322,0.604573338205901,16.0,16.0,0.1337325149219639,0.1337325149219639,0.0
PMOP5,5,equal,True,0.0,0.21595698877715444,0.0,0.3287127533513842,16.0,16.0,,0.9893397936313861,
PMOP5,5,CHIM-posthoc,False,,0.9717324674827619,0.6180993460161982,0.9952759099803002,16.0,16.0,,,
PMOP5,5,TPE-2024-grid,True,0.7987953268415294,0.9668278456088093,0.5843515560298032,1.0369891395764117,16.0,16.0,,0.0,
PMOP6,5,TAFR-meaningful-gain,True,0.0,0.0,0.0,0.18377131713624692,16.0,16.0,0.23609305729938493,0.23609305729938493,0.0
PMOP6,5,equal,True,0.0,0.0,0.0,0.18377131713624692,16.0,16.0,,0.23609305729938493,
PMOP6,5,CHIM-posthoc,False,,1.0007392869609706,0.7338036121342288,0.9836753763717427,16.0,16.0,,,
PMOP6,5,TPE-2024-grid,True,0.0,0.0,0.0,0.18377131713624692,16.0,16.0,,0.23609305729938493,
PMOP7,5,TAFR-meaningful-gain,False,,,,,16.0,16.0,,,
PMOP7,5,equal,True,0.0,0.3190000462491205,0.0,0.3931999368190171,16.0,16.0,,1.305520756569326,
PMOP7,5,CHIM-posthoc,False,,1.1489705366958356,0.567149413265511,1.1154242289436773,16.0,16.0,,,
PMOP7,5,TPE-2024-grid,True,0.9668741192424852,1.2117015998788152,0.7666231998562417,1.1725903719829407,16.0,16.0,,0.0,
PMOP8,5,TAFR-meaningful-gain,True,0.2829395771804554,0.5067979703775041,0.06880495963985336,0.5656083675020595,0.0,16.0,0.2838761882518957,0.2838761882518957,0.0
PMOP8,5,equal,True,0.2829395771804554,0.5067979703775041,0.06880495963985336,0.5656083675020595,0.0,16.0,,1.2293920331900674,
PMOP8,5,CHIM-posthoc,False,,1.057114637283852,0.5394248411040308,1.082663071061453,0.0,16.0,,,
PMOP8,5,TPE-2024-grid,True,0.6999388190375523,1.057114637283852,0.5124539919973224,1.0855321451229973,0.0,16.0,,0.0,
PMOP9,5,TAFR-meaningful-gain,True,0.0,0.0,0.0,0.1784867895426677,16.0,16.0,0.2383366096379177,0.2383366096379177,0.0
PMOP9,5,equal,True,0.0,0.0,0.0,0.1784867895426677,16.0,16.0,,0.2383366096379177,
PMOP9,5,CHIM-posthoc,False,,1.0004451140083936,0.7597011542857698,0.9810014932962855,16.0,16.0,,,
PMOP9,5,TPE-2024-grid,True,0.0,0.0,0.0,0.1784867895426677,16.0,16.0,,0.2383366096379177,
PMOP10,5,TAFR-meaningful-gain,True,0.5295254130157777,0.6689104392289053,0.33960105613157143,0.6669370233190486,16.0,16.0,0.0709728431112576,0.0709728431112576,0.0
PMOP10,5,equal,True,0.0,0.23985442900468384,0.0,0.36691278868968324,16.0,16.0,,0.997553802115769,
PMOP10,5,CHIM-posthoc,False,,0.9799033012706037,0.6345814014264246,1.0213376077553353,16.0,16.0,,,
PMOP10,5,TPE-2024-grid,True,0.7270204084663053,0.8927018587876961,0.4140993060363874,0.8596790088431647,16.0,16.0,,0.0,
